"Y_feature","Model","Composite_Score","BIC","LogScore","W_statistic","Skewness","Kurtosis"
"B4 Band Power","m2e",0.919371825362773,5182.06788744318,-4.22545529516184,0.98363333012267,0.302038820210286,1.23266003624069
"B4 Band Relative Power","m2d",0.774033311135549,-2330.55290344752,1.48228481621521,0.983997534261589,0.442995431819041,1.35618455658766
"B4 Surface Area","m1c",0.774683533337226,8692.58370071418,-6.97348012597713,0.995299556601112,-0.156663541485793,0.525082168278192
"B4 Surface Area Percentage","m3c",0.833805653573345,2273.12634628839,-1.81366816171923,0.99690855136068,-0.0116896246478178,-0.248703699815692
"B4 Vertex Percentage","m3c",0.813637439182014,2297.69636901392,-1.85291084227005,0.99610879469922,-0.0581510221173405,-0.360125868616414
"B5 Band Power","m3d",0.948428107296891,5522.68396779483,-4.39000236024822,0.989642280547702,0.26279308746992,0.227093014383359
"B5 Band Relative Power","m2d",0.886806040196415,-2423.30572452522,1.7317774840397,0.993608779813221,-0.127739946024228,0.320887278529734
"B5 Surface Area","m3d",0.911455666576498,8850.23327467476,-7.09017016064498,0.996175415355944,-0.0266011753388349,0.20121574985829
"B5 Surface Area Percentage","m3c",0.879657027266125,2145.62680104182,-1.7745503142695,0.990506351349426,-0.283316261268056,0.823713498858617
"B5 Vertex Percentage","m3c",0.830942019051951,2047.37812335589,-1.69052659866299,0.993427285260733,-0.168325867446698,0.566009927577044
"B6 Band Power","m2d",0.851376752565342,4377.7451716938,-3.61715821847935,0.951997403332421,0.55851575288945,3.66613866034769
"B6 Band Relative Power","m2b",0.851279669788377,-2869.96335892897,0.84514861232518,0.939829338910361,0.996379367767918,1.87947372467267
"B6 Surface Area","m2e",0.912207042725719,8381.34604121909,-6.69061591000468,0.994936097524761,-0.11723602608717,-0.30073535796479
"B6 Surface Area Percentage","m2d",0.864851331853955,2000.87207578338,-1.67124842236558,0.957132530922263,-0.773743420273495,2.52925389632434
"B6 Vertex Percentage","m2d",0.906461440227687,1656.74628656046,-1.31364014068431,0.985958727101351,-0.298565835532478,1.01828741392323
"Band Parcels B5","m3c",0.901447475976371,10311.8987816382,-8.44197873300637,0.99267399933412,0.0613745587653683,0.742190328299954
"Band Parcels B6","m2d",0.982432053553305,10052.5840419096,-8.18260508274225,0.995219979982749,0.0564949668819271,0.384629877797516
"Band_parcels B4","m1c",0.759685677618592,10316.0236209224,-8.35226006948786,0.997965159026327,0.0277922151762534,0.104870695271215
"Folding Power","m2e",0.941171395546757,6489.5284189436,-5.16700048439293,0.995081485447428,0.120423710930008,0.0818200642289676
"Gyrification Index","m2b",0.840258656569229,-2361.60045388146,1.68805458394375,0.942352757781443,0.14907688350506,2.99408798904848
"Hemispheric Volume","m3d",0.90642606105513,3850.10738276532,-3.00950763760442,0.995943510075736,-0.0674585022833433,-0.026948555967983
"Hull Area","m2d",0.813292217777558,9812.15755158072,-7.8330880429318,0.995415856067028,0.130506490859738,-0.100881653987005
"Surface Area cm2","m2c",0.885660313467479,4532.84054987642,-3.54221296876204,0.991639881558469,0.233132180972601,-0.0658569826932632
