"Model","Y_feature","BIC","AIC"
"m1","Surface Area cm2",4943.431589128,4925.89158731759
"m2","Surface Area cm2",4801.51643482424,4764.75119958429
"m3","Surface Area cm2",4522.62255848777,4474.24788208872
"m4","Surface Area cm2",4528.50435567943,4471.00814108839
"m1","Folding Power",7654.73705722137,7641.39316507937
"m2","Folding Power",7021.80756085878,6979.69442949839
"m3","Folding Power",6484.5435640938,6412.47678093914
"m4","Folding Power",6440.52569413386,6365.67295612242
"m1","B4 Vertex Percentage",2909.90490908443,2893.34324016183
"m2","B4 Vertex Percentage",2250.66375667585,2206.34754529359
"m3","B4 Vertex Percentage",2254.09618848284,2191.96855236074
"m4","B4 Vertex Percentage",2254.87835150035,2184.86248317255
"m1","B5 Vertex Percentage",2060.91138822751,2047.62459892801
"m2","B5 Vertex Percentage",2063.9665788824,2034.13807825788
"m3","B5 Vertex Percentage",2076.8713296971,2028.92405583335
"m4","B5 Vertex Percentage",2089.24778097144,2032.66917049692
"m1","B6 Vertex Percentage",1939.35012866954,1921.72939532164
"m2","B6 Vertex Percentage",1696.56393434173,1653.75835595114
"m3","B6 Vertex Percentage",1692.48022027238,1638.97425791453
"m4","B6 Vertex Percentage",1664.07978396263,1595.02936658783
"m1","Band_parcels B4",10525.5148465315,10507.9715174477
"m2","Band_parcels B4",10198.5661743025,10151.5911286332
"m3","Band_parcels B4",10163.9971240223,10089.92666269
"m4","Band_parcels B4",10172.6937946313,10089.6074653653
"m1","Band Parcels B5",10529.6346315998,10512.0932352138
"m2","Band Parcels B5",10397.2055415137,10356.4921039691
"m3","Band Parcels B5",10344.7447952501,10289.0415203369
"m4","Band Parcels B5",10356.420207056,10292.2560413007
"m1","Band Parcels B6",10548.5730284448,10531.5995505447
"m2","Band Parcels B6",10122.4884370322,10077.7913972739
"m3","Band Parcels B6",10107.9941700563,10048.0125352416
"m4","Band Parcels B6",10080.9920171702,10010.1800852045
"m1","Hemispheric Volume",4008.22519119657,3991.9561076723
"m2","Hemispheric Volume",4011.15551060025,3991.50263593354
"m3","Hemispheric Volume",3844.06046959034,3796.00580274076
"m4","Hemispheric Volume",3844.63041683112,3791.49051841055
"m1","Gyrification Index",-2040.98302503427,-2058.60421769872
"m2","Gyrification Index",-2383.38828182903,-2426.19579121711
"m3","Gyrification Index",-2707.25360991385,-2770.44235733289
"m4","Gyrification Index",-2695.52278080262,-2767.46992444095
"m1","Hull Area",9926.63072955074,9913.32021852229
"m2","Hull Area",9927.52997640453,9913.3972614726
"m3","Hull Area",9794.21627543513,9753.22510049677
"m4","Hull Area",9799.34644911663,9751.23685537801
"m1","B4 Surface Area",8948.46671339877,8931.48693393918
"m2","B4 Surface Area",8731.92593644329,8690.37652956903
"m3","B4 Surface Area",8566.02930380259,8500.79887791188
"m4","B4 Surface Area",8578.67006328345,8504.64883474892
"m1","B5 Surface Area",9269.09656084829,9251.63334766953
"m2","B5 Surface Area",9103.17568617852,9066.05705171982
"m3","B5 Surface Area",8850.60599592454,8794.28262830219
"m4","B5 Surface Area",8839.00798527703,8781.3486115398
"m1","B6 Surface Area",8994.52053762519,8981.18787893346
"m2","B6 Surface Area",8582.71402989778,8540.19309193596
"m3","B6 Surface Area",8372.44305820638,8319.45528968116
"m4","B6 Surface Area",8355.47645314035,8290.55249074694
"m1","B4 Surface Area Percentage",2945.324243738,2932.05234493447
"m2","B4 Surface Area Percentage",2210.83326897424,2165.9920660817
"m3","B4 Surface Area Percentage",2217.90084588778,2155.89054231347
"m4","B4 Surface Area Percentage",2218.48167945554,2148.66082532214
"m1","B5 Surface Area Percentage",2165.8364750475,2148.52568981604
"m2","B5 Surface Area Percentage",2167.25888059698,2138.10624037841
"m3","B5 Surface Area Percentage",2176.45589998675,2131.49297486434
"m4","B5 Surface Area Percentage",2189.51718009548,2134.73309172244
"m1","B6 Surface Area Percentage",2226.03166802769,2208.38220192074
"m2","B6 Surface Area Percentage",2067.61500708172,2027.1595900203
"m3","B6 Surface Area Percentage",2053.40339761162,2005.08227285217
"m4","B6 Surface Area Percentage",2016.47128301267,1951.97109227102
"m1","B4 Band Power",5747.04683419755,5730.89388829522
"m2","B4 Band Power",5521.95101738782,5483.31899683362
"m3","B4 Band Power",5137.65905415968,5063.45100668216
"m4","B4 Band Power",5117.95430328347,5041.1422664574
"m1","B5 Band Power",6924.74213919585,6907.38122833694
"m2","B5 Band Power",6214.23499345878,6175.20088043277
"m3","B5 Band Power",5591.71681781422,5512.93529955055
"m4","B5 Band Power",5494.83024806288,5417.25397868604
"m1","B6 Band Power",6324.90625919914,6311.58794785041
"m2","B6 Band Power",5561.21375073538,5515.65742912758
"m3","B6 Band Power",4691.99015018954,4611.28133546467
"m4","B6 Band Power",4391.018587745,4316.69199178171
"m1","B4 Band Relative Power",-1719.52500727273,-1736.99882036662
"m2","B4 Band Relative Power",-2203.44538727628,-2246.5313600531
"m3","B4 Band Relative Power",-2271.25434493703,-2337.50798793691
"m4","B4 Band Relative Power",-2303.90946027343,-2377.02966474709
"m1","B5 Band Relative Power",-2251.12764356517,-2264.61890223406
"m2","B5 Band Relative Power",-2365.46938351584,-2402.75679008026
"m3","B5 Band Relative Power",-2397.71286506632,-2460.3920036997
"m4","B5 Band Relative Power",-2412.92742770212,-2482.47950735397
"m1","B6 Band Relative Power",-2536.49468304075,-2554.15936982437
"m2","B6 Band Relative Power",-2772.6295841261,-2812.68287367078
"m3","B6 Band Relative Power",-2911.09564699771,-2987.50290899553
"m4","B6 Band Relative Power",-3118.83363388715,-3187.39081463208
